BL_ID;BL;AGS;Name;Total;Male;Female;;
01;Schleswig-Holstein;01053040;Groß Disnack;  82;  45;  37;;
01;Schleswig-Holstein;01053041;Groß Grönau; 3 603; 1 755; 1 848;;
01;Schleswig-Holstein;01053042;Groß Pampau;  151;  77;  74;;
01;Schleswig-Holstein;01053043;Groß Sarau;  880;  434;  446;;
01;Schleswig-Holstein;01053044;Groß Schenkenberg;  542;  258;  284;;
01;Schleswig-Holstein;01053045;Grove;  242;  124;  118;;
01;Schleswig-Holstein;01053046;Gudow; 1 670;  827;  843;;
01;Schleswig-Holstein;01053047;Gülzow; 1 231;  629;  602;;
01;Schleswig-Holstein;01053048;Güster; 1 267;  625;  642;;
01;Schleswig-Holstein;01053049;Hamfelde;  479;  230;  249;;
01;Schleswig-Holstein;01053050;Hamwarde;  756;  388;  368;;
01;Schleswig-Holstein;01053051;Harmsdorf;  290;  145;  145;;
01;Schleswig-Holstein;01053052;Havekost;  156;  72;  84;;
01;Schleswig-Holstein;01053053;Hohenhorn;  510;  255;  255;;
01;Schleswig-Holstein;01053054;Hollenbek;  443;  231;  212;;
01;Schleswig-Holstein;01053056;Hornbek;  199;  100;  99;;
01;Schleswig-Holstein;01053057;Horst;  235;  119;  116;;
01;Schleswig-Holstein;01053058;Juliusburg;  176;  83;  93;;
01;Schleswig-Holstein;01053059;Kankelau;  218;  110;  108;;
01;Schleswig-Holstein;01053060;Kasseburg;  569;  279;  290;;
01;Schleswig-Holstein;01053061;Kastorf; 1 179;  590;  589;;
01;Schleswig-Holstein;01053062;Kittlitz;  243;  131;  112;;
01;Schleswig-Holstein;01053064;Klein Pampau;  612;  306;  306;;
01;Schleswig-Holstein;01053066;Klein Zecher;  240;  117;  123;;
01;Schleswig-Holstein;01053067;Klempau;  610;  313;  297;;
01;Schleswig-Holstein;01053068;Klinkrade;  602;  288;  314;;
01;Schleswig-Holstein;01053069;Koberg;  764;  384;  380;;
01;Schleswig-Holstein;01053070;Köthel;  269;  133;  136;;
01;Schleswig-Holstein;01053071;Kollow;  604;  290;  314;;
01;Schleswig-Holstein;01053072;Kröppelshagen-Fahrendorf; 1 164;  588;  576;;
01;Schleswig-Holstein;01053073;Krüzen;  358;  183;  175;;
01;Schleswig-Holstein;01053074;Krukow;  161;  85;  76;;
01;Schleswig-Holstein;01053075;Krummesse; 1 751;  824;  927;;
01;Schleswig-Holstein;01053076;Kuddewörde; 1 344;  649;  695;;
01;Schleswig-Holstein;01053077;Kühsen;  376;  180;  196;;
01;Schleswig-Holstein;01053078;Kulpin;  217;  102;  115;;
01;Schleswig-Holstein;01053079;Labenz;  848;  430;  418;;
01;Schleswig-Holstein;01053080;Langenlehsten;  169;  86;  83;;
01;Schleswig-Holstein;01053081;Lankau;  491;  251;  240;;
01;Schleswig-Holstein;01053082;Lanze;  279;  138;  141;;
01;Schleswig-Holstein;01053083;Lauenburg/ Elbe, Stadt; 11 150; 5 531; 5 619;;
01;Schleswig-Holstein;01053084;Lehmrade;  483;  230;  253;;
01;Schleswig-Holstein;01053085;Linau; 1 199;  609;  590;;
01;Schleswig-Holstein;01053086;Lüchow;  285;  140;  145;;
01;Schleswig-Holstein;01053087;Lütau;  714;  354;  360;;
01;Schleswig-Holstein;01053088;Mechow;  110;  55;  55;;
01;Schleswig-Holstein;01053089;Möhnsen;  543;  273;  270;;
01;Schleswig-Holstein;01053090;Mölln, Stadt; 18 409; 8 672; 9 737;;
01;Schleswig-Holstein;01053091;Mühlenrade;  177;  93;  84;;
01;Schleswig-Holstein;01053092;Müssen;  996;  495;  501;;
01;Schleswig-Holstein;01053093;Mustin;  757;  362;  395;;
01;Schleswig-Holstein;01053094;Niendorf bei Berkenthin;  195;  94;  101;;
01;Schleswig-Holstein;01053095;Niendorf/ Stecknitz;  647;  323;  324;;
01;Schleswig-Holstein;01053096;Nusse; 1 084;  529;  555;;
01;Schleswig-Holstein;01053097;Panten;  637;  320;  317;;
01;Schleswig-Holstein;01053098;Pogeez;  381;  199;  182;;
01;Schleswig-Holstein;01053099;Poggensee;  341;  158;  183;;
01;Schleswig-Holstein;01053100;Ratzeburg, Stadt; 13 613; 6 332; 7 281;;
01;Schleswig-Holstein;01053101;Ritzerau;  274;  136;  138;;
01;Schleswig-Holstein;01053102;Römnitz;  54;  26;  28;;
01;Schleswig-Holstein;01053103;Rondeshagen;  832;  408;  424;;
01;Schleswig-Holstein;01053104;Roseburg;  504;  253;  251;;
01;Schleswig-Holstein;01053106;Sahms;  372;  183;  189;;
01;Schleswig-Holstein;01053107;Salem;  598;  297;  301;;
01;Schleswig-Holstein;01053108;Sandesneben; 1 699;  849;  850;;
01;Schleswig-Holstein;01053109;Schiphorst;  608;  299;  309;;
01;Schleswig-Holstein;01053110;Schmilau;  544;  270;  274;;
01;Schleswig-Holstein;01053111;Schnakenbek;  833;  394;  439;;
01;Schleswig-Holstein;01053112;Schönberg; 1 382;  694;  688;;
01;Schleswig-Holstein;01053113;Schretstaken;  485;  242;  243;;
01;Schleswig-Holstein;01053114;Schürensöhlen;  150;  74;  76;;
01;Schleswig-Holstein;01053115;Schulendorf;  459;  240;  219;;
01;Schleswig-Holstein;01053116;Schwarzenbek, Stadt; 14 978; 7 293; 7 685;;
01;Schleswig-Holstein;01053117;Seedorf;  542;  271;  271;;
01;Schleswig-Holstein;01053118;Siebenbäumen;  645;  332;  313;;
01;Schleswig-Holstein;01053119;Siebeneichen;  266;  133;  133;;
01;Schleswig-Holstein;01053120;Sierksrade;  352;  180;  172;;
01;Schleswig-Holstein;01053121;Sirksfelde;  318;  172;  146;;
01;Schleswig-Holstein;01053122;Steinhorst;  567;  290;  277;;
01;Schleswig-Holstein;01053123;Sterley;  947;  467;  480;;
01;Schleswig-Holstein;01053124;Stubben;  393;  183;  210;;
01;Schleswig-Holstein;01053125;Talkau;  517;  258;  259;;
