GENESIS-Tabelle: 036-01-5-B
Gebäude mit Wohnraum und Wohnungen nach Gebäudearten;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes
;;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01054094;Oevenum;190;177;177;-;13;269;253;253;-;16
01054095;Oldenswort;531;508;508;-;23;643;613;613;-;30
01054096;Oldersbek;259;247;247;-;12;303;288;288;-;15
01054097;Olderup;150;138;138;-;12;177;165;165;-;12
01054098;Oldsum;262;246;246;-;16;354;329;329;-;25
01054099;Ostenfeld (Husum);576;552;552;-;24;662;638;638;-;24
01054100;Osterhever;126;116;116;-;10;142;129;129;-;13
01054101;Oster-Ohrstedt;240;240;240;-;-;286;286;286;-;-
01054103;Pellworm;612;578;578;-;34;756;716;716;-;40
01054104;Poppenbüll;114;105;105;-;9;131;119;119;-;12
01054105;Ramstedt;183;179;179;-;4;205;201;201;-;4
01054106;Rantrum;619;604;604;-;15;713;689;689;-;24
01054107;Rantum (Sylt);-;-;-;-;-;-;-;-;-;-
01054108;Reußenköge;133;118;118;-;15;156;141;141;-;15
01054109;Risum-Lindholm;1363;1322;1322;-;41;1636;1579;1579;-;57
01054110;Rodenäs;175;165;165;-;10;216;206;206;-;10
01054113;Sankt Peter-Ording;2209;2108;2105;3;101;3989;3810;3749;61;179
01054116;Schwabstedt;516;501;501;-;15;648;617;617;-;31
01054118;Schwesing;334;322;322;-;12;403;385;385;-;18
01054119;Seeth;225;215;215;-;10;282;272;272;-;10
01054120;Simonsberg;368;358;358;-;10;450;436;436;-;14
01054121;Sönnebüll;97;94;94;-;3;112;106;106;-;6
01054123;Sollwitt;108;108;108;-;-;135;135;135;-;-
01054124;Sprakebüll;83;80;80;-;3;101;98;98;-;3
01054125;Stadum;367;352;352;-;15;439;421;421;-;18
01054126;Stedesand;313;285;285;-;28;375;344;344;-;31
01054128;Struckum;386;379;379;-;7;409;402;402;-;7
01054129;Süderende;89;85;85;-;4;116;108;108;-;8
01054130;Süderhöft;9;6;6;-;3;12;9;9;-;3
01054131;Süderlügum;936;905;905;-;31;1066;1020;1020;-;46
01054132;Südermarsch;49;49;49;-;-;73;73;73;-;-
01054133;Sylt-Ost;-;-;-;-;-;-;-;-;-;-
01054134;Tating;513;491;491;-;22;658;623;623;-;35
01054135;Tetenbüll;334;322;322;-;12;378;360;360;-;18
01054136;Tinningstedt;79;72;72;-;7;105;94;94;-;11
01054138;Tönning;1950;1867;1867;-;83;2617;2506;2506;-;111
01054140;Tümlauer Koog;42;39;39;-;3;66;63;63;-;3
01054141;Uelvesbüll;132;132;132;-;-;144;144;144;-;-
01054142;Uphusum;160;154;154;-;6;172;163;163;-;9
01054143;Utersum;193;181;181;-;12;334;319;319;-;15
01054144;Viöl;666;635;635;-;31;845;800;800;-;45
01054145;Vollerwiek;115;109;109;-;6;142;133;133;-;9
01054146;Vollstedt;69;63;63;-;6;88;82;82;-;6
01054148;Welt;116;110;110;-;6;127;121;121;-;6
01054149;Wenningstedt-Braderup (Sylt);1271;1243;1240;3;28;2178;2107;2089;18;71
01054150;Westerhever;95;86;86;-;9;104;95;95;-;9
01054151;Westerland;-;-;-;-;-;-;-;-;-;-
01054152;Wester-Ohrstedt;368;353;353;-;15;462;444;444;-;18
01054154;Westre;146;140;140;-;6;157;151;151;-;6
01054156;Winnert;277;271;271;-;6;336;330;330;-;6
01054157;Wisch;44;40;40;-;4;53;49;49;-;4
01054158;Witsum;30;27;27;-;3;42;39;39;-;3
01054159;Wittbek;302;283;283;-;19;355;333;333;-;22
01054160;Wittdün auf Amrum;278;244;244;-;34;695;604;604;-;91
01054161;Witzwort;434;410;410;-;24;492;465;465;-;27
01054162;Wobbenbüll;173;169;169;-;4;216;212;212;-;4
01054163;Wrixum;265;256;256;-;9;368;359;359;-;9
01054164;Wyk auf Föhr;1813;1662;1662;-;151;3162;2887;2883;4;275
01054165;Galmsbüll;230;204;204;-;26;293;261;261;-;32
01054166;Emmelsbüll-Horsbüll;424;409;409;-;15;526;508;508;-;18
01054167;Enge-Sande;425;395;395;-;30;501;468;468;-;33
01054168;Sylt;5227;4955;4952;3;272;10269;9660;9630;30;609
01055001;Ahrensbök;2678;2574;2574;-;104;3781;3626;3626;-;155
01055002;Altenkrempe;364;353;353;-;11;470;452;452;-;18
01055004;Bad Schwartau;4954;4798;4795;3;156;10059;9674;9647;27;385
01055006;Beschendorf;188;178;178;-;10;242;226;226;-;16
01055007;Bosau;1291;1258;1258;-;33;1633;1576;1576;-;57
01055010;Dahme;827;777;777;-;50;1388;1309;1282;27;79
01055011;Damlos;245;238;238;-;7;297;287;287;-;10
01055012;Eutin;4507;4300;4279;21;207;8766;8377;8278;99;389
01055014;Göhl;435;422;422;-;13;512;490;490;-;22
01055015;Gremersdorf;555;542;542;-;13;704;687;687;-;17
01055016;Grömitz;2910;2788;2788;-;122;6148;5910;5910;-;238
01055017;Großenbrode;1074;1039;1039;-;35;1796;1758;1758;-;38
01055018;Grube;393;381;381;-;12;498;474;474;-;24
01055020;Harmsdorf;258;251;251;-;7;309;302;302;-;7
01055021;Heiligenhafen;2762;2653;2647;6;109;5694;5539;5521;18;155
01055022;Heringsdorf (Holstein);545;525;525;-;20;723;694;694;-;29
01055023;Kabelhorst;161;157;157;-;4;212;208;208;-;4
01055024;Kasseedorf;509;496;496;-;13;662;643;643;-;19
01055025;Kellenhusen (Ostsee);534;501;501;-;33;1088;1045;1045;-;43
01055027;Lensahn;1534;1495;1492;3;39;2319;2258;2255;3;61
01055028;Malente;3069;2961;2957;4;108;5416;5179;5162;17;237
01055029;Manhagen;142;142;142;-;-;175;175;175;-;-
01055031;Neukirchen;567;558;558;-;9;689;680;680;-;9
01055032;Neustadt in Holstein;3948;3790;3781;9;158;8116;7818;7768;50;298
01055033;Oldenburg in Holstein;2959;2813;2810;3;146;4932;4672;4632;40;260
01055035;Ratekau;4747;4654;4654;-;93;6904;6751;6742;9;153
01055036;Riepsdorf;400;388;388;-;12;476;464;464;-;12
01055037;Schashagen;883;856;853;3;27;1190;1160;1054;106;30
01055038;Schönwalde am Bungsberg;793;774;774;-;19;1134;1096;1081;15;38
01055039;Sierksdorf;594;584;584;-;10;1535;1503;1503;-;32
01055040;Stockelsdorf;5086;4969;4969;-;117;7656;7370;7342;28;286
01055041;Süsel;1816;1754;1754;-;62;2353;2265;2265;-;88
01055042;Timmendorfer Strand;3110;2984;2984;-;126;7587;7252;7246;6;335
01055043;Wangels;867;845;845;-;22;1111;1070;1070;-;41
01055044;Scharbeutz;3954;3843;3840;3;111;6905;6739;6727;12;166
01055046;Fehmarn;5000;4817;4811;6;183;7550;7196;7148;48;354
01056001;Appen;1433;1399;1396;3;34;2063;2020;2017;3;43
01056002;Barmstedt;2761;2668;2668;-;93;4581;4418;4418;-;163
01056003;Bevern;187;166;166;-;21;271;241;241;-;30
01056004;Bilsen;237;226;226;-;11;317;306;306;-;11
01056005;Bönningstedt;1315;1267;1267;-;48;1878;1792;1792;-;86
01056006;Bokel;209;190;190;-;19;269;241;241;-;28
01056008;Bokholt-Hanredder;437;417;417;-;20;503;470;470;-;33
01056009;Borstel-Hohenraden;704;689;689;-;15;988;964;964;-;24
01056010;Brande-Hörnerkirchen;500;475;475;-;25;678;634;634;-;44
01056011;Bullenkuhlen;101;97;97;-;4;138;134;134;-;4
01056013;Ellerbek;1436;1403;1403;-;33;1899;1841;1841;-;58
01056014;Ellerhoop;465;440;440;-;25;616;573;573;-;43
01056015;Elmshorn;10850;10579;10573;6;271;24153;23562;23475;87;591
01056016;Groß Nordende;204;204;204;-;-;297;294;294;-;3
01056017;Groß Offenseth-Aspern;104;92;92;-;12;164;146;146;-;18
01056018;Halstenbek;4662;4606;4606;-;56;7777;7672;7672;-;105
01056019;Haselau;371;359;359;-;12;481;466;466;-;15
01056020;Haseldorf;577;558;558;-;19;735;710;710;-;25
01056021;Hasloh;1037;1019;1019;-;18;1506;1476;1476;-;30
01056022;Heede;234;219;219;-;15;299;266;266;-;33
01056023;Heidgraben;832;817;817;-;15;1025;998;998;-;27
01056024;Heist;980;958;958;-;22;1190;1162;1162;-;28
01056025;Helgoland;706;585;579;6;121;1211;1011;990;21;200
01056026;Hemdingen;484;462;462;-;22;666;635;635;-;31
01056027;Hetlingen;476;473;473;-;3;599;593;593;-;6
01056028;Holm;992;950;950;-;42;1330;1244;1244;-;86
01056029;Klein Nordende;1062;1052;1052;-;10;1288;1266;1266;-;22
01056030;Klein Offenseth-Sparrieshoop;914;883;883;-;31;1156;1100;1100;-;56
01056031;Kölln-Reisiek;942;926;926;-;16;1243;1224;1224;-;19
01056032;Kummerfeld;713;691;691;-;22;869;832;832;-;37
01056033;Seester;321;299;299;-;22;393;356;356;-;37
01056034;Langeln;179;163;163;-;16;232;213;213;-;19
01056035;Lutzhorn;244;229;229;-;15;315;288;288;-;27
01056036;Moorrege;1430;1397;1397;-;33;1803;1767;1767;-;36
01056037;Neuendeich;175;166;166;-;9;218;200;200;-;18
01056038;Osterhorn;124;121;121;-;3;189;183;183;-;6
01056039;Pinneberg;9095;8910;8910;-;185;20352;19986;19986;-;366
01056040;Prisdorf;740;722;722;-;18;909;879;879;-;30
01056041;Quickborn;5682;5534;5531;3;148;9399;9127;9114;13;272
01056042;Raa-Besenbek;205;193;193;-;12;235;220;220;-;15
01056043;Rellingen;4159;4070;4067;3;89;6475;6289;6273;16;186
01056044;Schenefeld, Stadt;4285;4225;4222;3;60;9061;8920;8917;3;141
01056045;Seestermühe;371;364;364;-;7;438;431;431;-;7
01056046;Seeth-Ekholt;267;253;253;-;14;355;332;332;-;23
01056047;Tangstedt;690;677;677;-;13;941;919;919;-;22
01056048;Tornesch;3658;3595;3595;-;63;5586;5498;5474;24;88
01056049;Uetersen;4521;4363;4363;-;158;8645;8338;8307;31;307
01056050;Wedel;6839;6647;6641;6;192;16788;16298;16071;227;490
01056051;Westerhorn;439;414;414;-;25;561;536;536;-;25
01057001;Ascheberg (Holstein);1002;983;983;-;19;1297;1272;1272;-;25
01057002;Barmissen;51;45;45;-;6;71;65;65;-;6
01057003;Barsbek;195;185;185;-;10;254;241;241;-;13
01057004;Behrensdorf (Ostsee);337;317;317;-;20;422;393;393;-;29
01057005;Belau;153;147;147;-;6;183;174;174;-;9
01057006;Bendfeld;89;89;89;-;-;104;104;104;-;-
01057007;Blekendorf;669;647;647;-;22;848;814;814;-;34
01057008;Bönebüttel;703;688;688;-;15;829;814;805;9;15
01057009;Bösdorf;479;471;471;-;8;608;597;597;-;11
01057010;Boksee;141;138;138;-;3;197;194;194;-;3
01057011;Bothkamp;90;83;83;-;7;122;115;115;-;7
01057012;Brodersdorf;139;135;135;-;4;182;178;178;-;4
01057013;Dannau;225;219;219;-;6;271;265;265;-;6
01057015;Dersau;301;286;286;-;15;395;377;377;-;18
01057016;Dobersdorf;402;393;393;-;9;485;472;472;-;13
01057017;Dörnick;98;98;98;-;-;136;136;136;-;-
01057018;Fahren;42;39;39;-;3;78;75;75;-;3
01057020;Fiefbergen;189;186;186;-;3;261;248;248;-;13
01057021;Giekau;410;404;404;-;6;495;489;489;-;6
01057022;Grebin;343;328;328;-;15;437;412;412;-;25
01057023;Großbarkau;60;60;60;-;-;102;96;96;-;6
01057024;Großharrie;180;167;167;-;13;223;210;210;-;13
01057025;Heikendorf;2547;2490;2490;-;57;4027;3927;3927;-;100
01057026;Helmstorf;113;113;113;-;-;159;159;159;-;-
01057027;Högsdorf;161;158;158;-;3;183;180;180;-;3
01057028;Höhndorf;139;139;139;-;-;179;176;176;-;3
01057029;Hohenfelde;662;650;647;3;12;749;733;723;10;16
01057030;Hohwacht (Ostsee);487;472;472;-;15;689;647;647;-;42
01057031;Honigsee;126;115;115;-;11;207;196;196;-;11
01057032;Kalübbe;198;192;192;-;6;242;236;236;-;6
01057033;Kirchbarkau;267;255;255;-;12;320;308;308;-;12
01057034;Kirchnüchel;76;72;72;-;4;89;85;85;-;4
01057035;Klamp;245;239;239;-;6;358;352;352;-;6
01057037;Klein Barkau;104;104;104;-;-;133;133;133;-;0
01057038;Kletkamp;65;61;61;-;4;81;77;77;-;4
01057039;Köhn;313;310;310;-;3;383;374;374;-;9
01057040;Krokau;136;133;133;-;3;206;203;203;-;3
01057041;Krummbek;134;131;131;-;3;194;188;188;-;6
01057042;Kühren;207;198;198;-;9;295;274;274;-;21
01057043;Laboe;1491;1449;1449;-;42;2841;2771;2700;71;70
01057044;Lammershagen;119;113;113;-;6;148;138;138;-;10
01057045;Lebrade;208;196;196;-;12;262;243;243;-;19
01057046;Lehmkuhlen;470;449;446;3;21;600;570;567;3;30
01057047;Löptin;105;96;96;-;9;147;135;135;-;12
01057048;Lütjenburg;1460;1375;1375;-;85;2761;2586;2586;-;175
01057049;Lutterbek;145;139;139;-;6;166;160;160;-;6
01057050;Martensrade;309;306;306;-;3;403;397;394;3;6
01057051;Mönkeberg;1162;1159;1159;-;3;1804;1795;1795;-;9
01057052;Mucheln;216;209;209;-;7;285;264;264;-;21
01057053;Nehmten;156;150;150;-;6;196;190;190;-;6
01057054;Nettelsee;140;134;134;-;6;193;187;187;-;6
01057055;Panker;555;537;537;-;18;688;667;667;-;21
01057056;Passade;119;119;119;-;-;132;132;132;-;-
01057057;Plön;2295;2172;2172;-;123;4826;4591;4591;-;235
01057058;Pohnsdorf;133;129;129;-;4;188;181;181;-;7
01057059;Postfeld;160;150;147;3;10;191;181;175;6;10
01057060;Prasdorf;132;120;120;-;12;177;165;165;-;12
01057062;Preetz;4405;4285;4276;9;120;7751;7495;7405;90;256
01057063;Probsteierhagen;656;635;629;6;21;961;925;884;41;36
01057065;Rantzau;132;126;126;-;6;173;167;167;-;6
01057066;Rastorf;296;287;287;-;9;386;365;365;-;21
01057067;Rathjensdorf;166;154;154;-;12;220;208;208;-;12
01057068;Rendswühren;278;265;265;-;13;317;301;301;-;16
01057069;Ruhwinkel;310;294;294;-;16;389;356;356;-;33
01057070;Schellhorn;540;537;537;-;3;698;692;692;-;6
01057071;Schillsdorf;310;292;292;-;18;374;350;350;-;24
01057072;Schlesen;166;162;158;4;4;216;212;205;7;4
01057073;Schönberg (Holstein);1941;1859;1859;-;82;3716;3557;3548;9;159
01057074;Schönkirchen;1892;1847;1847;-;45;3023;2938;2938;-;85
01057076;Schwartbuck;285;279;279;-;6;355;343;343;-;12
01057077;Selent;430;416;416;-;14;596;575;575;-;21
01057078;Stakendorf;177;165;165;-;12;220;202;202;-;18
01057079;Stein;316;301;301;-;15;470;452;452;-;18
01057080;Stolpe;439;421;421;-;18;560;542;542;-;18
01057081;Stoltenberg;112;112;112;-;-;139;139;139;-;-
01057082;Tröndel;144;138;138;-;6;181;175;175;-;6
01057083;Tasdorf;129;126;126;-;3;161;158;158;-;3
01057084;Wahlstorf;195;185;185;-;10;236;226;226;-;10
01057085;Wankendorf;889;849;849;-;40;1318;1260;1260;-;58
01057086;Warnau;126;122;122;-;4;151;147;147;-;4
01057087;Wendtorf;349;349;349;-;-;594;594;594;-;-
01057088;Wisch;387;378;378;-;9;441;432;432;-;9
01057089;Wittmoldt;80;77;77;-;3;92;89;89;-;3
01057090;Fargau-Pratjau;272;262;262;-;10;323;310;310;-;13
01057091;Schwentinental;4014;3951;3948;3;63;6438;6338;6278;60;100
01058001;Achterwehr;333;327;327;-;6;392;386;386;-;6
01058003;Alt Duvenstedt;635;608;608;-;27;796;769;769;-;27
01058004;Altenhof;115;109;109;-;6;161;146;146;-;15
01058005;Altenholz;2845;2813;2803;10;32;4682;4629;4558;71;53
01058007;Arpsdorf;101;95;95;-;6;116;110;110;-;6
01058008;Ascheffel;332;326;326;-;6;404;395;395;-;9
01058009;Aukrug;1235;1204;1204;-;31;1606;1557;1548;9;49
01058010;Bargstall;53;49;49;-;4;57;53;53;-;4
01058011;Bargstedt;267;256;256;-;11;317;300;297;3;17
01058012;Barkelsby;542;536;536;-;6;656;650;650;-;6
01058013;Beldorf;116;110;110;-;6;135;123;123;-;12
01058014;Bendorf;177;153;153;-;24;212;188;188;-;24
01058015;Beringstedt;288;279;279;-;9;337;324;324;-;13
01058016;Bissee;52;49;49;-;3;73;70;70;-;3
01058018;Blumenthal;241;238;238;-;3;308;305;305;-;3
01058019;Böhnhusen;98;98;98;-;-;141;138;138;-;3
01058021;Bokel;239;229;229;-;10;280;267;267;-;13
01058022;Bordesholm;2357;2288;2288;-;69;3601;3479;3479;-;122
01058023;Borgdorf-Seedorf;137;137;137;-;-;171;167;167;-;4
01058024;Borgstedt;489;469;469;-;20;594;574;568;6;20
01058025;Bornholt;77;74;74;-;3;93;90;90;-;3
01058026;Bovenau;384;372;372;-;12;467;437;437;-;30
01058027;Brammer;151;145;145;-;6;175;166;166;-;9
01058028;Bredenbek;495;486;483;3;9;613;598;589;9;15
01058029;Breiholz;488;464;464;-;24;617;586;586;-;31
01058030;Brekendorf;430;417;417;-;13;536;514;514;-;22
01058031;Brinjahe;60;60;60;-;-;63;63;63;-;-
01058032;Brodersby;440;428;428;-;12;543;528;528;-;15
01058033;Brügge;369;352;346;6;17;447;427;404;23;20
01058034;Büdelsdorf;2836;2769;2769;-;67;5167;5057;5057;-;110
01058035;Bünsdorf;325;319;319;-;6;380;371;371;-;9
01058036;Christiansholm;94;87;87;-;7;112;102;102;-;10
01058037;Dänischenhagen;1343;1314;1314;-;29;1632;1596;1596;-;36
01058038;Dätgen;189;189;189;-;-;246;246;246;-;-
01058039;Damendorf;146;140;140;-;6;209;194;194;-;15
01058040;Damp;723;707;707;-;16;1459;1443;1201;242;16
01058042;Dörphof;256;250;250;-;6;386;380;380;-;6
01058043;Eckernförde;5603;5383;5377;6;220;11784;11396;11338;58;388
01058044;Ehndorf;202;199;199;-;3;248;245;245;-;3
01058045;Eisendorf;139;133;133;-;6;158;152;152;-;6
01058046;Ellerdorf;192;186;186;-;6;225;216;216;-;9
01058047;Elsdorf-Westermühlen;580;557;557;-;23;723;700;700;-;23
01058048;Embühren;87;81;81;-;6;97;91;91;-;6
01058049;Emkendorf;550;520;520;-;30;666;623;623;-;43
01058050;Felde;796;781;781;-;15;952;934;916;18;18
01058051;Felm;383;377;377;-;6;489;477;477;-;12
01058052;Fleckeby;731;713;713;-;18;923;896;896;-;27
01058053;Flintbek;2208;2183;2183;-;25;3375;3298;3298;-;77
01058054;Fockbek;2189;2134;2131;3;55;2963;2890;2790;100;73
01058055;Friedrichsgraben;25;22;22;-;3;25;22;22;-;3
01058056;Friedrichsholm;131;131;131;-;0;176;167;167;-;9
01058057;Gammelby;192;189;189;-;3;238;229;229;-;9
01058058;Gettorf;2267;2184;2184;-;83;3140;2988;2988;-;152
01058059;Gnutz;460;424;424;-;36;542;496;496;-;46
01058061;Gokels;235;220;220;-;15;279;264;261;3;15
01058062;Grauel;96;90;90;-;6;120;105;105;-;15
01058063;Grevenkrug;57;54;54;-;3;121;118;118;-;3
01058064;Groß Buchwald;124;118;115;3;6;159;150;143;7;9
01058065;Groß Vollstedt;328;316;316;-;12;465;450;450;-;15
01058066;Groß Wittensee;414;402;402;-;12;556;529;529;-;27
01058067;Güby;165;155;155;-;10;259;249;212;37;10
01058068;Haale;188;175;175;-;13;233;217;217;-;16
01058069;Haby;191;179;179;-;12;241;229;229;-;12
01058070;Hamdorf;482;460;460;-;22;569;541;541;-;28
01058071;Hamweddel;164;149;149;-;15;204;183;183;-;21
01058072;Hanerau-Hademarschen;1105;1038;1038;-;67;1417;1327;1327;-;90
01058073;Haßmoor;98;89;89;-;9;128;116;113;3;12
01058074;Heinkenborstel;53;50;50;-;3;63;60;60;-;3
01058075;Hörsten;20;17;17;-;3;32;29;23;6;3
01058076;Hoffeld;44;44;44;-;-;50;50;50;-;-
01058077;Hohenwestedt;1617;1536;1533;3;81;2451;2316;2313;3;135
01058078;Hohn;842;818;818;-;24;1078;1032;1032;-;46
01058080;Holtsee;467;443;443;-;24;568;541;541;-;27
01058081;Holzbunge;127;124;124;-;3;178;175;175;-;3
01058082;Holzdorf;362;338;338;-;24;471;434;434;-;37
01058083;Hütten;65;53;53;-;12;94;82;82;-;12
01058084;Hummelfeld;104;104;104;-;-;132;129;129;-;3
01058085;Jahrsdorf;100;100;100;-;-;112;112;112;-;-
01058086;Jevenstedt;1063;1015;1015;-;48;1353;1284;1284;-;69
01058087;Karby;226;214;214;-;12;301;274;274;-;27
01058088;Klein Wittensee;66;63;63;-;3;98;91;91;-;7
01058089;Königshügel;66;63;63;-;3;81;75;75;-;6
01058090;Kosel;679;664;664;-;15;815;792;792;-;23
01058091;Krogaspe;155;146;146;-;9;181;172;172;-;9
01058092;Kronshagen;3080;3033;3033;-;47;6215;6099;5988;111;116
01058093;Krummwisch;226;217;217;-;9;285;270;270;-;15
01058094;Langwedel;681;674;674;-;7;814;807;807;-;7
01058096;Lindau;437;410;410;-;27;556;520;520;-;36
01058097;Lohe-Föhrden;175;172;172;-;3;225;222;222;-;3
01058098;Loop;80;74;74;-;6;89;83;83;-;6
01058099;Loose;279;268;268;-;11;353;336;336;-;17
01058100;Lütjenwestedt;220;196;196;-;24;247;220;220;-;27
01058101;Luhnstedt;156;156;156;-;-;202;196;196;-;6
01058102;Goosefeld;267;264;264;-;3;325;322;322;-;3
01058103;Meezen;169;163;163;-;6;196;190;190;-;6
01058104;Melsdorf;519;491;491;-;28;747;704;704;-;43
01058105;Mielkendorf;464;464;464;-;-;560;560;560;-;0
01058106;Mörel;96;93;93;-;3;115;112;112;-;3
01058107;Molfsee;1678;1656;1656;-;22;2289;2261;2261;-;28
01058108;Mühbrook;187;181;181;-;6;239;233;233;-;6
01058109;Negenharrie;110;106;106;-;4;141;131;131;-;10
01058110;Neudorf-Bornstein;361;355;355;-;6;461;452;452;-;9
01058111;Neu Duvenstedt;44;38;38;-;6;50;44;44;-;6
01058112;Neuwittenbek;411;404;404;-;7;494;487;487;-;7
01058113;Nienborstel;225;210;210;-;15;249;234;234;-;15
01058115;Nindorf;238;223;223;-;15;272;257;257;-;15
01058116;Noer;340;327;327;-;13;431;414;414;-;17
01058117;Nortorf;2007;1908;1904;4;99;3357;3167;3163;4;190
01058118;Nübbel;550;547;547;-;3;669;666;666;-;3
01058119;Oldenbüttel;94;91;91;-;3;118;115;115;-;3
01058120;Oldenhütten;64;58;58;-;6;73;67;67;-;6
01058121;Osdorf;748;730;730;-;18;990;956;956;-;34
01058122;Ostenfeld (Rendsburg);175;166;166;-;9;234;225;225;-;9
01058123;Osterby;331;325;325;-;6;402;396;396;-;6
01058124;Osterrönfeld;1727;1673;1673;-;54;2262;2172;2172;-;90
01058125;Osterstedt;237;227;224;3;10;284;268;265;3;16
01058126;Ottendorf;272;266;266;-;6;344;327;327;-;17
01058127;Owschlag;1299;1250;1250;-;49;1606;1544;1544;-;62
01058128;Padenstedt;510;504;504;-;6;599;587;587;-;12
01058129;Prinzenmoor;62;62;62;-;-;72;72;72;-;-
01058130;Quarnbek;634;628;628;-;6;755;746;746;-;9
01058131;Rade b. Hohenwestedt;30;30;30;-;-;33;30;30;-;3
01058132;Rade b. Rendsburg;73;70;70;-;3;91;88;88;-;3
01058133;Reesdorf;41;38;38;-;3;56;53;53;-;3
01058134;Remmels;154;147;147;-;7;196;186;186;-;10
01058135;Rendsburg;6311;6044;6032;12;267;15591;15054;15004;50;537
01058136;Rickert;360;353;353;-;7;430;423;423;-;7
01058137;Rieseby;851;832;832;-;19;1150;1125;1122;3;25
01058138;Rodenbek;166;166;166;-;-;201;201;201;-;-
01058139;Rumohr;255;248;248;-;7;345;327;327;-;18
01058140;Schacht-Audorf;1501;1465;1465;-;36;2084;2024;2024;-;60
01058141;Schierensee;151;151;151;-;-;190;190;190;-;-
01058142;Schinkel;345;333;333;-;12;448;433;430;3;15
01058143;Schmalstede;106;100;100;-;6;130;118;118;-;12
01058144;Schönbek;75;66;66;-;9;87;78;78;-;9
01058145;Schönhorst;99;96;96;-;3;132;120;120;-;12
01058146;Schülldorf;232;220;220;-;12;259;247;247;-;12
01058147;Schülp b. Nortorf;281;264;264;-;17;342;310;310;-;32
01058148;Schülp b. Rendsburg;380;376;376;-;4;487;483;483;-;4
01058150;Schwedeneck;1063;1032;1032;-;31;1384;1347;1347;-;37
01058151;Seefeld;144;138;138;-;6;165;159;159;-;6
01058152;Sehestedt;320;305;302;3;15;390;369;363;6;21
01058153;Sören;59;55;55;-;4;68;64;64;-;4
01058154;Sophienhamm;131;125;125;-;6;161;155;155;-;6
01058155;Stafstedt;142;129;129;-;13;172;150;150;-;22
01058156;Steenfeld;132;132;132;-;-;152;152;152;-;-
01058157;Strande;522;512;512;-;10;750;740;740;-;10
01058158;Tackesdorf;32;28;28;-;4;40;36;36;-;4
01058159;Tappendorf;119;113;113;-;6;147;137;137;-;10
01058160;Techelsdorf;65;65;65;-;-;80;80;80;-;-
01058161;Thaden;108;99;99;-;9;117;105;105;-;12
01058162;Thumby;190;186;186;-;4;273;269;269;-;4
01058163;Timmaspe;376;361;361;-;15;445;426;426;-;19
01058164;Todenbüttel;392;364;364;-;28;497;463;463;-;34
01058165;Tüttendorf;380;368;368;-;12;473;461;461;-;12
01058166;Waabs;607;575;575;-;32;802;737;737;-;65
01058167;Wapelfeld;103;99;99;-;4;128;121;121;-;7
01058168;Warder;372;366;366;-;6;417;408;408;-;9
01058169;Wasbek;779;766;766;-;13;965;940;940;-;25
01058170;Wattenbek;913;901;901;-;12;1241;1226;1226;-;15
01058171;Westensee;505;496;496;-;9;684;675;675;-;9
01058172;Westerrönfeld;1693;1675;1672;3;18;2273;2252;2224;28;21
01058173;Windeby;397;391;391;-;6;479;462;462;-;17
01058174;Winnemark;202;199;199;-;3;250;243;236;7;7
01058175;Ahlefeld-Bistensee;170;161;161;-;9;204;195;195;-;9
01059001;Alt Bennebek;115;109;109;-;6;150;144;144;-;6
01059002;Arnis;134;131;131;-;3;189;186;186;-;3
01059005;Bergenhusen;296;281;281;-;15;347;326;326;-;21
01059006;Böel;260;260;260;-;-;319;319;319;-;-
01059008;Böklund;491;472;472;-;19;660;626;626;-;34
01059009;Börm;257;251;251;-;6;337;325;325;-;12
01059010;Bollingstedt;549;537;537;-;12;663;648;648;-;15
01059011;Boren;416;395;395;-;21;496;471;471;-;25
01059012;Borgwedel;359;356;356;-;3;460;454;454;-;6
01059014;Brebel;125;119;119;-;6;186;180;180;-;6
01059016;Brodersby;411;408;408;-;3;449;446;446;-;3
01059018;Busdorf;735;729;729;-;6;896;890;890;-;6
01059019;Dannewerk;365;348;348;-;17;473;453;444;9;20
01059020;Dörpstedt;231;224;224;-;7;285;272;272;-;13
01059021;Dollrottfeld;101;101;101;-;-;135;135;135;-;-
01059022;Ekenis;84;84;84;-;-;114;114;114;-;-
01059023;Ellingstedt;282;275;275;-;7;365;355;355;-;10
