GENESIS-Tabelle: 036-01-5-B
Gebäude mit Wohnraum und Wohnungen nach Gebäudearten;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes;Art des Gebäudes
;;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum;;Wohngebäude (Insgesamt);Wohngebäude (ohne Wohnheime);Wohnheime;sonstige Gebäude mit Wohnraum
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01053117;Seedorf;257;257;257;-;-;356;347;347;-;9
01053118;Siebenbäumen;200;187;187;-;13;275;259;259;-;16
01053119;Siebeneichen;88;88;88;-;-;108;108;108;-;-
01053120;Sierksrade;110;107;107;-;3;153;150;150;-;3
01053121;Sirksfelde;125;122;122;-;3;157;154;154;-;3
01053122;Steinhorst;199;199;199;-;-;235;235;235;-;-
01053123;Sterley;334;334;334;-;-;403;403;403;-;-
01053124;Stubben;130;121;121;-;9;173;158;158;-;15
01053125;Talkau;193;184;184;-;9;229;220;220;-;9
01053126;Tramm;118;115;115;-;3;146;137;137;-;9
01053127;Walksfelde;67;61;61;-;6;82;76;76;-;6
01053128;Wangelau;66;63;63;-;3;90;81;81;-;9
01053129;Wentorf bei Hamburg;2662;2618;2618;-;44;5563;5485;5485;-;78
01053130;Wentorf (Amt Sandesneben);238;232;232;-;6;298;289;289;-;9
01053131;Wiershop;64;58;58;-;6;80;74;74;-;6
01053132;Witzeeze;294;276;276;-;18;383;352;352;-;31
01053133;Wohltorf;802;793;793;-;9;1159;1144;1096;48;15
01053134;Woltersdorf;113;113;110;3;0;134;131;125;6;3
01053135;Worth;59;56;56;-;3;81;78;78;-;3
01053136;Ziethen;318;315;315;-;3;383;380;380;-;3
01054001;Achtrup;558;545;545;-;13;677;661;661;-;16
01054002;Ahrenshöft;215;209;209;-;6;241;232;232;-;9
01054003;Ahrenviöl;176;168;168;-;8;212;204;204;-;8
01054004;Ahrenviölfeld;93;93;93;-;-;99;99;99;-;-
01054005;Alkersum;175;162;162;-;13;264;242;242;-;22
01054006;Almdorf;215;212;212;-;3;259;253;253;-;6
01054007;Arlewatt;121;121;121;-;-;145;145;145;-;-
01054009;Aventoft;214;196;196;-;18;280;259;256;3;21
01054010;Bargum;236;221;221;-;15;278;263;263;-;15
01054011;Behrendorf;213;209;209;-;4;253;243;243;-;10
01054012;Bohmstedt;303;284;284;-;19;335;316;316;-;19
01054013;Bondelum;60;60;60;-;-;77;77;77;-;-
01054014;Bordelum;832;805;805;-;27;1016;980;967;13;36
01054015;Borgsum;141;135;135;-;6;197;187;187;-;10
01054016;Bosbüll;81;81;81;-;-;102;102;102;-;-
01054017;Braderup;283;271;271;-;12;354;342;342;-;12
01054018;Bramstedtlund;82;76;76;-;6;88;82;82;-;6
01054019;Bredstedt;1950;1852;1849;3;98;2625;2411;2402;9;214
01054020;Breklum;871;859;859;-;12;1002;987;987;-;15
01054022;Dagebüll;430;408;408;-;22;501;476;476;-;25
01054023;Drage;228;206;206;-;22;286;255;241;14;31
01054024;Drelsdorf;494;476;476;-;18;556;529;529;-;27
01054025;Dunsum;46;46;46;-;-;70;70;70;-;-
01054026;Elisabeth-Sophien-Koog;22;22;22;-;-;25;25;25;-;-
01054027;Ellhöft;41;41;41;-;-;48;48;48;-;-
01054032;Fresendelf;53;53;53;-;-;56;56;56;-;-
01054033;Friedrichstadt;1041;976;976;-;65;1480;1369;1369;-;111
01054034;Friedrich-Wilhelm-Lübke-Koog;57;42;42;-;15;75;54;54;-;21
01054035;Garding, Kirchspiel;133;130;130;-;3;182;179;179;-;3
01054036;Garding;1037;971;967;4;66;1523;1442;1413;29;81
01054037;Goldebek;117;108;108;-;9;158;149;149;-;9
01054038;Goldelund;141;131;131;-;10;175;162;162;-;13
01054039;Gröde;4;4;4;-;-;4;4;4;-;-
01054040;Grothusenkoog;15;15;15;-;-;18;18;18;-;-
01054041;Haselund;311;305;305;-;6;364;355;355;-;9
01054042;Hattstedt;926;914;914;-;12;1131;1113;1113;-;18
01054043;Hattstedtermarsch;119;100;100;-;19;143;124;124;-;19
01054045;Högel;160;151;151;-;9;200;182;182;-;18
01054046;Hörnum (Sylt);474;451;451;-;23;900;874;874;-;26
01054048;Holm;39;39;39;-;-;45;45;45;-;-
01054050;Hallig Hooge;69;50;50;-;19;94;69;69;-;25
01054052;Horstedt;247;235;235;-;12;302;290;290;-;12
01054054;Hude;91;91;91;-;-;98;98;98;-;-
01054055;Humptrup;310;301;301;-;9;358;346;337;9;12
01054056;Husum;6887;6617;6611;6;270;11944;11405;11301;104;539
01054057;Immenstedt;226;223;223;-;3;262;256;256;-;6
01054059;Joldelund;285;279;279;-;6;332;316;316;-;16
01054061;Kampen (Sylt);639;615;615;-;24;1016;964;964;-;52
01054062;Karlum;80;77;77;-;3;95;92;92;-;3
01054063;Katharinenheerd;83;83;83;-;-;87;87;87;-;-
01054065;Klanxbüll;366;351;351;-;15;482;461;461;-;21
01054068;Klixbüll;359;343;343;-;16;447;428;428;-;19
01054070;Koldenbüttel;344;340;340;-;4;394;383;383;-;11
01054071;Kolkerheide;27;24;24;-;3;36;30;30;-;6
01054072;Kotzenbüll;86;83;83;-;3;99;96;96;-;3
01054073;Ladelund;510;488;485;3;22;690;659;637;22;31
01054074;Langeneß;82;76;76;-;6;94;88;88;-;6
01054075;Langenhorn;1237;1187;1187;-;50;1460;1398;1398;-;62
01054076;Leck;2603;2502;2502;-;101;3895;3720;3720;-;175
01054077;Lexgaard;26;23;23;-;3;32;26;26;-;6
01054078;List;727;693;693;-;34;1472;1388;1388;-;84
01054079;Löwenstedt;205;196;196;-;9;272;257;257;-;15
01054080;Lütjenholm;123;120;120;-;3;141;138;138;-;3
01054083;Midlum;161;157;157;-;4;243;236;236;-;7
01054084;Mildstedt;1342;1311;1311;-;31;1582;1551;1544;7;31
01054085;Nebel;494;449;449;-;45;754;693;693;-;61
01054086;Neukirchen;467;428;428;-;39;588;537;537;-;51
01054087;Nieblum;522;499;499;-;23;651;622;622;-;29
01054088;Niebüll;3122;2983;2977;6;139;4797;4577;4450;127;220
01054089;Norddorf auf Amrum;240;205;205;-;35;422;367;367;-;55
01054090;Norderfriedrichskoog;16;12;12;-;4;26;22;22;-;4
01054091;Nordstrand;1154;1086;1086;-;68;1443;1358;1358;-;85
01054092;Norstedt;151;144;144;-;7;175;168;168;-;7
01054093;Ockholm;159;155;155;-;4;177;173;173;-;4
