AGS;Name;Insgesamt;Fernheizung (Fernwärme);Etagenheizung;Blockheizung;Zentralheizung;Einzel-oder Mehrraumöfen;keine Heizung im Gebäude
01061003;Agethorst;61;-;-;-;58;3;-
01061004;Altenmoor;82;-;3;-;79;-;-
01061005;Auufer;44;-;-;-;44;-;-
01061006;Bahrenfleth;205;7;3;-;185;10;-
01061007;Beidenfleth;355;3;18;-;328;6;-
01061008;Bekdorf;35;-;-;-;32;3;-
01061010;Bekmünde;55;-;3;-;46;6;-
01061011;Besdorf;90;10;-;-;67;13;-
01061012;Blomesche Wildnis;255;3;6;-;240;6;-
01061013;Bokelrehm;55;9;-;-;46;-;-
01061014;Bokhorst;59;7;-;3;42;7;-
01061015;Borsfleth;304;13;9;-;273;9;-
01061016;Breitenberg;122;4;-;-;112;6;-
01061017;Breitenburg;339;-;15;-;320;4;-
01061018;Brokdorf;395;14;9;-;357;15;-
01061019;Brokstedt;728;27;33;19;627;18;4
01061020;Büttel;15;-;-;-;15;-;-
01061021;Christinenthal;27;-;3;-;24;-;-
01061022;Dägeling;366;7;9;-;334;16;-
01061023;Dammfleth;123;6;6;-;100;11;-
01061024;Drage;90;-;-;-;80;10;-
01061025;Ecklak;145;-;3;-;126;16;-
01061026;Elskop;67;-;3;-;61;3;-
01061027;Engelbrechtsche Wildnis;254;9;-;3;228;14;-
01061028;Fitzbek;160;9;7;-;131;13;-
01061029;Glückstadt;3230;240;285;56;2567;76;6
01061030;Grevenkop;113;3;3;-;104;3;-
01061031;Gribbohm;150;6;-;3;141;0;-
01061033;Hadenfeld;46;-;-;-;43;3;-
01061034;Heiligenstedten;553;9;12;-;514;18;-
01061035;Heiligenstedtenerkamp;275;10;10;-;248;7;-
01061036;Hennstedt;254;6;6;-;224;15;3
01061037;Herzhorn;394;7;9;-;375;3;-
01061038;Hingstheide;30;-;-;-;21;9;-
01061039;Hodorf;87;-;3;-;81;3;-
01061040;Hohenaspe;699;27;20;3;624;25;-
01061041;Hohenfelde;343;15;18;-;302;8;-
01061042;Hohenlockstedt;1897;215;48;19;1571;44;-
01061043;Holstenniendorf;174;3;-;-;139;32;-
01061044;Horst (Holstein);1731;94;43;19;1496;79;-
01061045;Huje;102;3;3;-;93;3;-
01061046;Itzehoe;8305;587;463;76;7075;104;-
01061047;Kaaks;156;-;10;-;143;3;-
01061048;Kaisborstel;22;-;-;-;16;6;-
01061049;Kellinghusen;2508;72;103;13;2264;53;3
01061050;Kiebitzreihe;784;30;6;3;745;0;-
01061052;Kleve, b. Itzehoe;224;4;-;-;220;-;-
01061053;Kollmoor;7;-;-;-;7;-;-
01061054;Krempdorf;94;-;6;-;85;3;-
01061055;Krempe;844;13;64;6;736;25;-
01061056;Kremperheide;924;18;16;4;859;27;-
01061057;Krempermoor;200;7;6;-;177;10;-
01061058;Kronsmoor;62;-;-;-;56;6;-
01061059;Krummendiek;27;-;-;-;24;-;3
01061060;Kudensee;75;-;-;-;63;12;-
01061061;Lägerdorf;741;22;13;6;690;10;-
01061062;Landrecht;50;-;3;-;44;3;-
01061063;Landscheide;96;-;8;-;76;12;-
01061064;Lockstedt;64;-;-;-;64;-;-
01061065;Lohbarbek;242;6;6;-;222;8;-
01061066;Looft;149;3;3;3;131;9;-
01061067;Mehlbek;165;4;9;-;149;3;-
01061068;Moordiek;53;3;-;-;44;6;-
01061070;Moorhusen;30;-;-;-;27;3;-
01061071;Mühlenbarbek;131;6;-;-;115;10;-
