GENESIS-Tabelle: 036-02-5-B
Gebäude mit Wohnraum nach Anzahl der Wohnungen;;;;;;;
- Stichtag 09.05.2011;;;;;;;
regionale Ebenen;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;
Stichtag: 09.05.2011;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen
;;Insgesamt;1 Wohnung;2 Wohnungen;3 - 6 Wohnungen;7 - 12 Wohnungen;13 und mehr Wohnungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01053109;Schiphorst;185;163;19;3;-;-
01053110;Schmilau;217;189;19;9;-;-
01053111;Schnakenbek;320;259;45;16;-;-
01053112;Schönberg;429;342;61;20;6;-
01053113;Schretstaken;160;113;34;13;-;-
01053114;Schürensöhlen;58;46;9;3;-;-
01053115;Schulendorf;158;142;13;3;-;-
01053116;Schwarzenbek;3604;2777;265;407;146;9
01053117;Seedorf;257;202;35;20;-;-
01053118;Siebenbäumen;200;158;33;9;-;-
01053119;Siebeneichen;88;65;13;7;3;-
01053120;Sierksrade;110;88;16;3;3;-
01053121;Sirksfelde;125;94;20;11;-;-
01053122;Steinhorst;199;162;26;7;4;-
01053123;Sterley;334;277;45;12;-;-
01053124;Stubben;130;117;10;3;-;-
01053125;Talkau;193;169;24;-;-;-
01053126;Tramm;118;95;13;10;-;-
01053127;Walksfelde;67;55;6;6;-;-
01053128;Wangelau;66;60;6;-;-;-
01053129;Wentorf bei Hamburg;2662;1974;205;309;149;25
01053130;Wentorf (Amt Sandesneben);238;174;44;20;-;-
01053131;Wiershop;64;45;19;-;-;-
01053132;Witzeeze;294;227;51;13;3;-
01053133;Wohltorf;802;652;86;47;17;-
01053134;Woltersdorf;113;97;10;6;-;-
01053135;Worth;59;41;12;6;-;-
01053136;Ziethen;318;270;31;14;3;-
01054001;Achtrup;558;476;65;17;-;-
01054002;Ahrenshöft;215;183;32;-;-;-
01054003;Ahrenviöl;176;152;17;4;3;-
01054004;Ahrenviölfeld;93;81;9;3;-;-
01054005;Alkersum;175;106;39;30;-;-
01054006;Almdorf;215;182;23;10;-;-
01054007;Arlewatt;121;95;22;4;-;-
01054009;Aventoft;214;185;17;12;-;-
01054010;Bargum;236;214;19;3;-;-
01054011;Behrendorf;213;168;39;6;-;-
01054012;Bohmstedt;303;263;37;3;-;-
01054013;Bondelum;60;47;13;-;-;-
01054014;Bordelum;832;692;109;31;-;-
01054015;Borgsum;141;66;40;32;3;-
01054016;Bosbüll;81;59;19;3;-;-
01054017;Braderup;283;229;47;7;-;-
01054018;Bramstedtlund;82;73;6;3;-;-
01054019;Bredstedt;1950;1621;175;145;9;-
01054020;Breklum;871;775;63;33;-;-
01054022;Dagebüll;430;357;46;27;-;-
01054023;Drage;228;195;30;3;-;-
01054024;Drelsdorf;494;439;43;12;-;-
01054025;Dunsum;46;21;10;12;3;-
01054026;Elisabeth-Sophien-Koog;22;13;6;3;-;-
01054027;Ellhöft;41;41;-;-;-;-
01054032;Fresendelf;53;39;14;-;-;-
01054033;Friedrichstadt;1041;848;106;84;3;-
01054034;Friedrich-Wilhelm-Lübke-Koog;57;51;6;-;-;-
01054035;Garding, Kirchspiel;133;105;19;9;-;-
01054036;Garding;1037;803;112;108;10;4
01054037;Goldebek;117;89;22;6;-;-
01054038;Goldelund;141;119;19;3;-;-
01054039;Gröde;4;4;-;-;-;-
01054040;Grothusenkoog;15;9;3;3;-;-
01054041;Haselund;311;262;43;6;-;-
01054042;Hattstedt;926;780;109;37;-;-
01054043;Hattstedtermarsch;119;94;25;-;-;-
01054045;Högel;160;120;34;6;-;-
01054046;Hörnum (Sylt);474;326;43;82;20;3
01054048;Holm;39;30;3;6;-;-
01054050;Hallig Hooge;69;38;21;10;-;-
01054052;Horstedt;247;202;35;6;4;-
01054054;Hude;91;72;15;4;-;-
01054055;Humptrup;310;283;21;6;-;-
01054056;Husum;6887;5202;681;826;141;37
01054057;Immenstedt;226;191;23;12;-;-
01054059;Joldelund;285;245;34;6;-;-
01054061;Kampen (Sylt);639;470;94;69;3;3
01054062;Karlum;80;73;7;-;-;-
01054063;Katharinenheerd;83;74;6;3;-;-
01054065;Klanxbüll;366;296;54;16;-;-
01054068;Klixbüll;359;299;42;18;-;-
01054070;Koldenbüttel;344;304;36;4;-;-
01054071;Kolkerheide;27;18;9;-;-;-
01054072;Kotzenbüll;86;68;6;12;-;-
01054073;Ladelund;510;423;51;33;-;3
01054074;Langeneß;82;73;3;6;-;-
01054075;Langenhorn;1237;1075;122;40;-;-
01054076;Leck;2603;2089;239;232;36;7
01054077;Lexgaard;26;23;3;-;-;-
01054078;List;727;484;87;112;35;9
01054079;Löwenstedt;205;168;31;6;-;-
01054080;Lütjenholm;123;94;29;-;-;-
01054083;Midlum;161;103;42;16;-;-
01054084;Mildstedt;1342;1176;130;33;3;-
01054085;Nebel;494;278;91;113;12;-
01054086;Neukirchen;467;402;48;17;-;-
01054087;Nieblum;522;338;95;86;3;-
01054088;Niebüll;3122;2493;295;279;49;6
01054089;Norddorf auf Amrum;240;117;58;65;0;-
01054090;Norderfriedrichskoog;16;6;3;7;-;-
01054091;Nordstrand;1154;934;157;50;-;13
01054092;Norstedt;151;117;30;4;-;-
01054093;Ockholm;159;143;13;3;-;-
01054094;Oevenum;190;123;43;24;-;-
01054095;Oldenswort;531;455;50;26;-;-
01054096;Oldersbek;259;227;29;3;-;-
01054097;Olderup;150;134;16;-;-;-
01054098;Oldsum;262;147;77;38;-;-
01054099;Ostenfeld (Husum);576;516;34;26;-;-
01054100;Osterhever;126;103;13;10;-;-
01054101;Oster-Ohrstedt;240;210;13;17;-;-
01054103;Pellworm;612;475;85;46;6;-
01054104;Poppenbüll;114;76;32;6;-;-
01054105;Ramstedt;183;164;16;3;-;-
01054106;Rantrum;619;528;69;22;-;-
01054107;Rantum (Sylt);-;-;-;-;-;-
01054108;Reußenköge;133;103;20;10;-;-
01054109;Risum-Lindholm;1363;1152;157;50;4;-
01054110;Rodenäs;175;141;22;12;-;-
01054113;Sankt Peter-Ording;2209;1397;338;375;77;22
01054116;Schwabstedt;516;434;63;19;-;-
01054118;Schwesing;334;277;45;12;-;-
01054119;Seeth;225;198;27;-;-;-
01054120;Simonsberg;368;314;45;9;-;-
01054121;Sönnebüll;97;81;13;3;-;-
01054123;Sollwitt;108;98;7;3;-;-
01054124;Sprakebüll;83;71;12;-;-;-
01054125;Stadum;367;326;26;15;-;-
01054126;Stedesand;313;260;35;18;-;-
01054128;Struckum;386;362;24;-;-;-
01054129;Süderende;89;63;15;11;-;-
01054130;Süderhöft;9;9;-;-;-;-
01054131;Süderlügum;936;825;76;35;-;-
01054132;Südermarsch;49;37;9;3;-;-
01054133;Sylt-Ost;-;-;-;-;-;-
01054134;Tating;513;382;92;36;3;-
01054135;Tetenbüll;334;288;34;12;-;-
